word_id,row,slot,label,colour_fill,subject_description,full_prompt
core_16,3,17,On,natural,"A small red ball resting on top of a flat wooden table, with the table clearly visible and the ball positioned on its surface","A small red ball resting on top of a flat wooden table, with the table clearly visible and the ball positioned on its surface, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_17,3,18,Off,natural,"A small red ball lifted up just above a flat wooden table with a small arrow showing the ball has come off the surface","A small red ball lifted up just above a flat wooden table with a small arrow showing the ball has come off the surface, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_18,4,19,Big,vibrant,"A very large cartoon elephant standing tall, full body, emphasizing size with the elephant filling most of the frame","A very large cartoon elephant standing tall, full body, emphasizing size with the elephant filling most of the frame, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_19,4,20,Small,natural,"A tiny cartoon mouse sitting in the centre of the frame, deliberately drawn small to emphasize smallness, full body","A tiny cartoon mouse sitting in the centre of the frame, deliberately drawn small to emphasize smallness, full body, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_20,4,21,Good,vibrant,"A bright green thumbs-up gesture with a small star or sparkle next to it, communicating approval","A bright green thumbs-up gesture with a small star or sparkle next to it, communicating approval, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_21,4,22,Bad / Yucky,vibrant,"A face with a crinkled nose and tongue sticking out slightly expressing 'yucky', face only with no body visible, slightly green-tinted","A face with a crinkled nose and tongue sticking out slightly expressing 'yucky', face only with no body visible, slightly green-tinted, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_22,4,23,More,vibrant,"Two stacked plain blocks next to a single block with a plus sign between them, indicating adding more","Two stacked plain blocks next to a single block with a plus sign between them, indicating adding more, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_23,4,24,All Done,vibrant,"Two hands held up palms-out in a 'stop / no more' gesture, with a small completed checkmark above the hands","Two hands held up palms-out in a 'stop / no more' gesture, with a small completed checkmark above the hands, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_24,5,25,MY WORDS,vibrant,"A bright yellow folder with a gold star on the front, slightly open to suggest custom contents inside","A bright yellow folder with a gold star on the front, slightly open to suggest custom contents inside, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_25,5,26,People,natural,"A group of three diverse cartoon people standing together (one adult, one child, one elder), head and shoulders, all smiling","A group of three diverse cartoon people standing together (one adult, one child, one elder), head and shoulders, all smiling, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_26,5,27,Food,natural,"A plate viewed from above with assorted food items on it — a sandwich half, an apple, and a piece of cheese","A plate viewed from above with assorted food items on it — a sandwich half, an apple, and a piece of cheese, children's AAC communication symbol, friendly illustration style, soft rounded shapes, natural coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_27,5,28,Academic,vibrant,"A small stack of three colourful school books with a pencil resting on top, suggesting learning","A small stack of three colourful school books with a pencil resting on top, suggesting learning, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_28,5,29,Places,vibrant,"A friendly cartoon road sign with arrows pointing different directions, suggesting different places to go","A friendly cartoon road sign with arrows pointing different directions, suggesting different places to go, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_29,5,30,Toys / Play,vibrant,"A friendly teddy bear sitting next to a colourful bouncy ball, both clearly visible together","A friendly teddy bear sitting next to a colourful bouncy ball, both clearly visible together, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_30,6,31,YES,vibrant,"A bold bright green checkmark, large and clear, taking up most of the frame","A bold bright green checkmark, large and clear, taking up most of the frame, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_31,6,32,NO,vibrant,"A bold bright red X mark, large and clear, taking up most of the frame","A bold bright red X mark, large and clear, taking up most of the frame, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_32,6,33,STOP,vibrant,"Two cartoon hands held up palms-out in an emphatic halt gesture, red urgency colour scheme around the hands, communicating urgent stop, distinct from a regular stop sign and distinct from the single-hand wait gesture","Two cartoon hands held up palms-out in an emphatic halt gesture, red urgency colour scheme around the hands, communicating urgent stop, distinct from a regular stop sign and distinct from the single-hand wait gesture, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_33,6,34,GO,vibrant,"A bright green traffic-light circle with a forward arrow, urgent and bold, distinct from a casual go","A bright green traffic-light circle with a forward arrow, urgent and bold, distinct from a casual go, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_34,6,35,WAIT,vibrant,"A hand held up palm-out in a 'wait' gesture, with a small hourglass icon beside it","A hand held up palm-out in a 'wait' gesture, with a small hourglass icon beside it, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
core_35,6,36,BREAK,vibrant,"A simple wooden bench or comfortable resting chair viewed from the side, suggesting taking a rest break","A simple wooden bench or comfortable resting chair viewed from the side, suggesting taking a rest break, children's AAC communication symbol, friendly illustration style, soft rounded shapes, vibrant coloured fills with gentle shading, white background, single object centred, no text, no labels, crisp clean lines, warm and engaging, style similar to PCS HD educational picture symbols."
